WKT,gid,access,addr:housenumber,aeroway,ele,landuse,military,name,operator,ref,surface,width
"POINT (-60.22 -31.7313999993865)","1042021120",,,aerodrome,"46",,,Aeródromo Club De Planeadores Paraná,,,,
"POINT (-61.2203 -30.2641999993205)","1042021405",,,aerodrome,"74",,,Aeródromo San Cristóbal,,,,
"POINT (-60.2261 -29.468099999328)","1042021461",,,aerodrome,"58",,,Aeródromo Vera,,,,
"POINT (-59.9749972 -29.3260666993323)","10300252069",,,aerodrome,"56",,,Aeródromo Bandini,,,,
"POINT (-59.5744532 -30.7451648993305)","1042021076",,,aerodrome,,,,Aeroclub de La Paz,,,,
"POINT (-57.9683 -30.387199999322)","1042021692",,,aerodrome,,,,Aeródromo El Pilincho,,,,
"POINT (-56.7982578 -29.3577153993312)","9525537942",yes,,aerodrome,fixme,,,Aeródromo de Guaviraví,,,grass,
"POINT (-56.8813447 -29.304453899333)","9525537929",yes,,aerodrome,"63",,,Aeródromo de la Estancia Santa Elisa,,,unpaved,"30"
"POINT (-56.821804 -29.4452255993286)","1042022260",yes,,aerodrome,"65",,,Aeropuerto de Yapeyú,,,concrete,"30"
"POINT (-57.1487949 -29.688998499323)","9525537951",yes,,aerodrome,"70",,,Aeropuerto de Paso de los Libres,,18/36,asphalt,"30"
"POINT (-57.5551149 -28.1710430993984)","9525537935",yes,,aerodrome,fixme,,,Aeródromo de la Estancia Santa Julia,,,grass,"30"
"POINT (-57.4342237 -28.1274286994019)","9525537931",yes,,aerodrome,fixme,,,Aeródromo de San Nicolás,,,grass,"30"
"POINT (-57.6329994 -27.7553004994343)","1042059247",,,aerodrome,,,,Aeródromo de Caá Catí,,,,
"POINT (-57.6438285 -27.384029499471)","9525537933",yes,,aerodrome,fixme,,,Aeródromo de Dinaluca S.A.,,,unpaved,"30"
"POINT (-59.3256 -28.4968999993745)","1042021467",,,aerodrome,,,,Aeropuerto Villa Ocampo,,,,
"POINT (-61.2114 -27.3085999994789)","1042021667",,,aerodrome,"92",,,Aeródromo El Gringo,,,,
"POINT (-63 -30.9999999993404)","1042058896",,,aerodrome,,,,Aeródromo Laguna Larga,,,,
"POINT (-63.8575253 -30.2693234993206)","1042022168",,,aerodrome,"423",,,Aeródromo San José De La Dormida,,,,
"POINT (-64.078572 -30.9877598993398)","1042021050",,,aerodrome,,,,Aeroclub Jesús María,,,,
"POINT (-64.4561817 -31.2852264993552)","3379910571",,,aerodrome,,military,airfield,Aeródromo,,,,
"POINT (-64.3796997 -30.3791999993219)","1042020771",,,aerodrome,"689",,,Aeródromo Deán Funes,,,,
"POINT (-64.2497025 -27.901399599421)","1042020954",,,aerodrome,,,,Gobernador Santillán,,,,
"POINT (-65.3091965 -26.796100599537)","1042021458",,,aerodrome,"580",,,Aeródromo Aeroclub Horco Molle,,,,
"POINT (-64.5283937 -26.5782580995635)","1042020368",,,aerodrome,"318",,,Aeródromo Agro Servicio Yoris,,,,
"POINT (-64.0828018 -25.1867007997522)","1042021051",,,aerodrome,"1184",,,Aeródromo Agropecuaria Rio Juramento,,,,
"POINT (-64.7494965 -23.7819003999568)","1042058681",,,aerodrome,"442",,,Aeródromo Calilegua,,,,
"POINT (-60.4889 -26.7863999995381)","1042059266",,,aerodrome,,,,Aeródromo Rovere,,,,
"POINT (-58.9381621 -25.278925699739)","1042021760",,,aerodrome,,,,Aeródromo Estancia La Salvación,,,,
"POINT (-59.3461211 -26.5190959995709)","3324379500",,,aerodrome,,,,Aeródromo,,,,
"POINT (-59.3397636 -26.3166865995967)","1042058776",,,aerodrome,"81",,,Aeródromo de El Colorado,,,,
"POINT (-59.5353 -26.2958999995994)","1042058601",,,aerodrome,"80",,,Aeródromo Estancia Don Panos,,,,
"POINT (-59.6638889 -26.1377777996201)","1042021744",,,aerodrome,"87",,,Aeródromo Estancia La Leonor,,,,
"POINT (-58.218477 -25.1297790997604)","9553968992",,,aerodrome,,,,Aeródromo de Laguna Blanca,,18/36,,
"POINT (-58.6751531 -25.863756599657)","9553970943",,,aerodrome,"72",,,Aeródromo San Hilario,,,,
"POINT (-58.5911634 -25.0366347997739)","9553087421",,,aerodrome,"88",,,Aeródromo Estancia San Rafael,,,,
"POINT (-59.8286904 -24.2950838998821)","9553074658",,,aerodrome,,,,Aeródromo Fortin Cabo Lugones,,,,
"POINT (-60.2013025 -24.2130944998941)","9553868383",,,aerodrome,,,,Aeródromo de Posta Cambio Zalazar,,,,
"POINT (-64.7693719 -22.498541800134)","3268797122",,,aerodrome,,,,,,,,
"POINT (-66.1591873 -25.1069982997637)","1042058557",,,aerodrome,,,,Aerodromo Cachi - Capitan Bornices,,,,
"POINT (-66.3892604 -25.5745587996971)","2695884552",,,aerodrome,,,,Aeródromo Finca Humanao,,,,
"POINT (-54.608422 -26.0071218996376)","735375184",,,aerodrome,,,,Aeródromo de Puerto Esperanza,,,,
"POINT (-53.6717853 -26.2786575996016)","1042059337",,,aerodrome,,,,Aeródromo de Bernardo de Irigoyen,,,,
